ticker,asset_class,source_index,sector,company,security_code,source_url
7272.T,equity,nikkei225,UNKNOWN,"YAMAHA MOTOR CO., LTD.",7272,https://indexes.nikkei.co.jp/en/nkave/index/component
7453.T,equity,nikkei225,UNKNOWN,"RYOHIN KEIKAKU CO., LTD.",7453,https://indexes.nikkei.co.jp/en/nkave/index/component
7532.T,equity,nikkei225,UNKNOWN,PAN PACIFIC INTERNATIONAL HOLDINGS CORP.,7532,https://indexes.nikkei.co.jp/en/nkave/index/component
7731.T,equity,nikkei225,UNKNOWN,NIKON CORP.,7731,https://indexes.nikkei.co.jp/en/nkave/index/component
7733.T,equity,nikkei225,UNKNOWN,OLYMPUS CORP.,7733,https://indexes.nikkei.co.jp/en/nkave/index/component
7735.T,equity,nikkei225,UNKNOWN,"SCREEN HOLDINGS CO., LTD.",7735,https://indexes.nikkei.co.jp/en/nkave/index/component
7741.T,equity,nikkei225,UNKNOWN,HOYA CORP.,7741,https://indexes.nikkei.co.jp/en/nkave/index/component
7751.T,equity,nikkei225,UNKNOWN,CANON INC.,7751,https://indexes.nikkei.co.jp/en/nkave/index/component
7752.T,equity,nikkei225,UNKNOWN,"RICOH CO., LTD.",7752,https://indexes.nikkei.co.jp/en/nkave/index/component
7832.T,equity,nikkei225,UNKNOWN,BANDAI NAMCO HOLDINGS INC.,7832,https://indexes.nikkei.co.jp/en/nkave/index/component
7911.T,equity,nikkei225,UNKNOWN,TOPPAN HOLDINGS INC.,7911,https://indexes.nikkei.co.jp/en/nkave/index/component
7912.T,equity,nikkei225,UNKNOWN,"DAI NIPPON PRINTING CO., LTD.",7912,https://indexes.nikkei.co.jp/en/nkave/index/component
7951.T,equity,nikkei225,UNKNOWN,YAMAHA CORP.,7951,https://indexes.nikkei.co.jp/en/nkave/index/component
7974.T,equity,nikkei225,UNKNOWN,"NINTENDO CO., LTD.",7974,https://indexes.nikkei.co.jp/en/nkave/index/component
8001.T,equity,nikkei225,UNKNOWN,ITOCHU CORP.,8001,https://indexes.nikkei.co.jp/en/nkave/index/component
8002.T,equity,nikkei225,UNKNOWN,MARUBENI CORP.,8002,https://indexes.nikkei.co.jp/en/nkave/index/component
8015.T,equity,nikkei225,UNKNOWN,TOYOTA TSUSHO CORP.,8015,https://indexes.nikkei.co.jp/en/nkave/index/component
8031.T,equity,nikkei225,UNKNOWN,"MITSUI & CO., LTD.",8031,https://indexes.nikkei.co.jp/en/nkave/index/component
8035.T,equity,nikkei225,UNKNOWN,TOKYO ELECTRON LTD.,8035,https://indexes.nikkei.co.jp/en/nkave/index/component
8053.T,equity,nikkei225,UNKNOWN,SUMITOMO CORP.,8053,https://indexes.nikkei.co.jp/en/nkave/index/component
8058.T,equity,nikkei225,UNKNOWN,MITSUBISHI CORP.,8058,https://indexes.nikkei.co.jp/en/nkave/index/component
8233.T,equity,nikkei225,UNKNOWN,"TAKASHIMAYA CO., LTD.",8233,https://indexes.nikkei.co.jp/en/nkave/index/component
8252.T,equity,nikkei225,UNKNOWN,"MARUI GROUP CO., LTD.",8252,https://indexes.nikkei.co.jp/en/nkave/index/component
8253.T,equity,nikkei225,UNKNOWN,"CREDIT SAISON CO., LTD.",8253,https://indexes.nikkei.co.jp/en/nkave/index/component
8267.T,equity,nikkei225,UNKNOWN,"AEON CO., LTD.",8267,https://indexes.nikkei.co.jp/en/nkave/index/component
8304.T,equity,nikkei225,UNKNOWN,"AOZORA BANK, LTD.",8304,https://indexes.nikkei.co.jp/en/nkave/index/component
8306.T,equity,nikkei225,UNKNOWN,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",8306,https://indexes.nikkei.co.jp/en/nkave/index/component
8308.T,equity,nikkei225,UNKNOWN,"RESONA HOLDINGS, INC.",8308,https://indexes.nikkei.co.jp/en/nkave/index/component
8309.T,equity,nikkei225,UNKNOWN,"SUMITOMO MITSUI TRUST GROUP, INC.",8309,https://indexes.nikkei.co.jp/en/nkave/index/component
8316.T,equity,nikkei225,UNKNOWN,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",8316,https://indexes.nikkei.co.jp/en/nkave/index/component
8331.T,equity,nikkei225,UNKNOWN,"THE CHIBA BANK, LTD.",8331,https://indexes.nikkei.co.jp/en/nkave/index/component
8354.T,equity,nikkei225,UNKNOWN,"FUKUOKA FINANCIAL GROUP, INC.",8354,https://indexes.nikkei.co.jp/en/nkave/index/component
